gvkey,year,uai,conm,keyword
1076,2012,0.327045,AARON'S INC,AARON'S INC
1161,2012,0.3202918,ADVANCED MICRO DEVICES,AMD
1230,2012,0.3446141,ALASKA AIR GROUP INC,ALASKA AIRLINES
1254,2012,0.3231008,MATSON INC,MATSON INC
1440,2012,0.3429077,AMERICAN ELECTRIC POWER CO,AMERICAN ELECTRIC POWER
1602,2012,0.4052198,AMGEN INC,AMGEN
1690,2012,0.333989,APPLE INC,APPLE
1891,2012,0.764623,AUTOMATIC DATA PROCESSING,ADP
1919,2012,0.7931667,AVNET INC,AVNET
1920,2012,0.3339687,AVON PRODUCTS,AVON 
1976,2012,0.3233418,BAKER HUGHES INC,BAKER HUGHES
2019,2012,0.3951546,BANK OF NEW YORK MELLON CORP,BNY MELLON
2101,2012,0.5892857,APPLIED INDUSTRIAL TECH INC,APPLIED INDUSTRIAL TECH
2111,2012,0.6731505,BECTON DICKINSON & CO,BECTON DICKINSON
2136,2012,0.3150536,VERIZON COMMUNICATIONS INC,VERIZON
2184,2012,0.6965227,BEST BUY CO INC,BEST BUY
2663,2012,0.3227268,CAMPBELL SOUP CO,CAMPBELL SOUP CO
2859,2012,0.3240106,CLECO CORP,CLECO
3093,2012,0.3155068,CLARCOR INC,CLARCOR 
3153,2012,0.5839229,COEUR MINING INC,COEUR MINING INC
3246,2012,0.7437906,COMMERCIAL METALS,COMMERCIAL METALS COMPANY
3570,2012,0.3290722,CRACKER BARREL OLD CTRY STOR,CRACKER BARREL OLD COUNTRY STORE
3570,2012,0.3290722,CRACKER BARREL OLD CTRY STOR,CRACKER BARREL 
3761,2012,0.3459324,DATA I/O CORP,DATA I/O 
4130,2012,0.6755952,DYNASIL CORP OF AMERICA,DYNASIL 
4241,2012,0.3439696,EL PASO ELECTRIC CO,EL PASO ELECTRIC CO
4409,2012,0.3985969,ENZON PHARMACEUTICALS INC,ENZON PHARMACEU
4517,2012,0.6041666,NEXTERA ENERGY INC,NEXTERA 
4600,2012,0.5803571,FEDERAL-MOGUL CORP,FEDERAL-MOGUL 
4860,2012,0.5714124,FOSTER (LB) CO,LB FOSTER
4988,2012,0.6869048,GANNETT CO,TEGNA (formerly Gannett)
4988,2012,0.6869048,GANNETT CO,Gannett Company
4988,2012,0.6869048,GANNETT CO,Gannett Co
5338,2012,0.6021493,GREIF INC  -CL A,GREIF 
5492,2012,0.3291683,HARRIS CORP,HARRIS CORPORATION
5496,2012,0.587406,HARSCO CORP,HARSCO CORPORATION
5606,2012,0.3481733,HEWLETT-PACKARD CO,HEWLETT-PACKARD ENTERPRISE
5606,2012,0.3481733,HEWLETT-PACKARD CO,HEWLETT-PACKARD
5606,2012,0.3481733,HEWLETT-PACKARD CO,HP
5606,2012,0.3481733,HEWLETT-PACKARD CO,HEWLETT PACKARD
5667,2012,0.3236902,HOLLYFRONTIER CORP,HOLLYFRONTIER CORPORATION
5862,2012,0.3284181,RAYONIER INC,RAYONIER 
6266,2012,0.7592962,JOHNSON & JOHNSON,JOHNSON & JOHNSON
6334,2012,0.3831846,GREAT PLAINS ENERGY INC,GREAT PLAINS ENERGY 
6338,2012,0.7233583,WESTAR ENERGY INC,WESTAR ENERGY 
6565,2012,0.3219538,LAM RESEARCH CORP,LAM RESEARCH
6788,2012,0.6718097,RANGE RESOURCES CORP,RANGE RESOURCES
6791,2012,0.3164577,FIRST ACCEPTANCE CORP,FIRST ACCEPTANCE CORP
6821,2012,0.3648645,LOUISIANA-PACIFIC CORP,LOUISIANA-PACIFIC CORPORATION
6900,2012,0.3194209,MTS SYSTEMS CORP,MTS SYSTEMS CORPORATION
6936,2012,0.3260083,MAGELLAN PETROLEUM CORP,MAGELLAN PETROLEUM
7116,2012,0.3300344,MATTEL INC,MATTEL INC
7154,2012,0.3314432,MCDONALD'S CORP,MCDONALD'S
7343,2012,0.3231842,MICRON TECHNOLOGY INC,MICRON TECHNOLOGY
7435,2012,0.3170524,3M CO,3M 
7620,2012,0.4347138,MURPHY OIL CORP,MURPHY OIL 
7637,2012,0.5945568,MYLAN INC,MYLAN 
7750,2012,0.3262861,TENET HEALTHCARE CORP,TENET HEALTHCARE
7799,2012,0.3517998,NATURES SUNSHINE PRODS INC,NATURES SUNSHINE 
7866,2012,0.6201785,NEW YORK TIMES CO  -CL A,THE NEW YORK TIMES 
7875,2012,0.524416,NEWELL RUBBERMAID INC,NEWELL BRANDS
7970,2012,0.4017777,NORTHEAST UTILITIES,Eversource Energy
7977,2012,0.3394757,XCEL ENERGY INC,XCEL ENERGY 
8240,2012,0.6698681,PHH CORP,PHH 
8264,2012,0.3179543,PG&E CORP,Pacific Gas and Electric Company
8264,2012,0.3179543,PG&E CORP,Pacific Gas & Electric / PG&E
8304,2012,0.3369701,PALL CORP,PALL Corporation
8357,2012,0.433259,PARKER DRILLING CO,PARKER DRILLING CO
8446,2012,0.3284751,PENNEY (J C) CO,JCPENNEY
8455,2012,0.3213694,PPL CORP,PPL Corporation
8543,2012,0.3263458,ALTRIA GROUP INC,ALTRIA GROUP DISTRIBUTION
8543,2012,0.3263458,ALTRIA GROUP INC,Philip Morris
8699,2012,0.3200927,POWELL INDUSTRIES INC,POWELL INDUSTRIES
9445,2012,0.325682,SCANA CORP,SCANA CORPORATION
10086,2012,0.3348241,STEWART INFORMATION SERVICES,STEWART 
10115,2012,0.5335544,STRYKER CORP,STRYKER 
10187,2012,0.3383021,SUNTRUST BANKS INC,SUNTRUST 
10614,2012,0.3197337,TORCHMARK CORP,TORCHMARK CORPORATION
10867,2012,0.8392857,UNION PACIFIC CORP,UNION PACIFIC
11096,2012,0.3854752,VALSPAR CORP,VALSPAR 
11315,2012,0.3332343,WAUSAU PAPER CORP,WAUSAU PAPER
11537,2012,0.3236147,WINNEBAGO INDUSTRIES,WINNEBAGO 
11554,2012,0.5803571,ALLIANT ENERGY CORP,ALLIANT ENERGY
11923,2012,0.3320675,ANADARKO PETROLEUM CORP,ANADARKO 
12096,2012,0.5836607,DGSE COMPANIES INC,DGSE 
12250,2012,0.5594394,AMAG PHARMACEUTICALS INC,AMAG PHARMACEUTICALS
12252,2012,0.4460317,XOMA CORP,XOMA
12458,2012,0.7594233,PRO-DEX INC/CO,PRO-DEX INC
12471,2012,0.6153274,WORLD FUEL SERVICES CORP,WORLD FUEL SERVICES
12603,2012,0.6940247,CNO FINANCIAL GROUP INC,CNO FINANCIAL GROUP
12789,2012,0.756743,LOJACK CORP,LOJACK Corporation
12840,2012,0.3588144,HEARTLAND EXPRESS INC,HEARTLAND EXPRESS INC.
13526,2012,0.3286086,BUCKEYE PARTNERS LP,BUCKEYE PARTNERS 
13824,2012,0.4042208,FAIR ISAAC CORP,FICO
14793,2012,0.3190666,ARCH COAL INC,ARCH COAL INC.
15267,2012,0.5178571,IDEX CORP,IDEX CORP
15704,2012,0.3286086,THOMSON-REUTERS CORP,THOMSON REUTERS
16777,2012,0.3205859,FIRST BANCORP/NC,FIRST BANK
17076,2012,0.546627,NEW HAMPSHIRE THRIFT BNCSHRS,Lake Sunapee Bank 
17136,2012,0.5803571,SUFFOLK BANCORP,Suffolk County National Bank
17641,2012,0.3951546,BANK SOUTH CAROLINA CORP,BANK OF SOUTH CAROLINA
18241,2012,0.326643,FIRST COMMONWLTH FINL CP/PA,First Commonwealth Bank
19137,2012,0.3394414,OHIO VALLEY BANC CORP,OHIO VALLEY BANK
21232,2012,0.4218211,NTN BUZZTIME INC,NTN BUZZTIME
21542,2012,0.3378572,AAON INC,AAON
23084,2012,0.4146732,BENCHMARK ELECTRONICS INC,BENCHMARK ELECTRONICS INC.
23195,2012,0.3185467,MATRIX SERVICE CO,MATRIX SERVICE
23450,2012,0.5699686,NORTHRIM BANCORP INC,NORTHRIM BANK
23810,2012,0.3390751,ION GEOPHYSICAL CORP,ION GEOPHYSICAL
